"source","Accession"
"GISAID","EPI_ISL_13483163"
"GISAID","EPI_ISL_13483164"
"GISAID","EPI_ISL_13483165"
"GISAID","EPI_ISL_13483167"
"GISAID","EPI_ISL_13483168"
"GISAID","EPI_ISL_13483170"
"GISAID","EPI_ISL_13483171"
"GISAID","EPI_ISL_13483173"
"GISAID","EPI_ISL_13483175"
"GISAID","EPI_ISL_13483177"
"GISAID","EPI_ISL_13483178"
"GISAID","EPI_ISL_13483180"
"GISAID","EPI_ISL_13483182"
"GISAID","EPI_ISL_13483183"
"GISAID","EPI_ISL_13483185"
"GISAID","EPI_ISL_13483187"
"GISAID","EPI_ISL_13483188"
"GISAID","EPI_ISL_13483190"
"GISAID","EPI_ISL_13483191"
"GISAID","EPI_ISL_13483193"
"GISAID","EPI_ISL_13483195"
"GISAID","EPI_ISL_13483196"
"GISAID","EPI_ISL_13483198"
"GISAID","EPI_ISL_13483200"
"GISAID","EPI_ISL_13483201"
"GISAID","EPI_ISL_13483203"
"GISAID","EPI_ISL_13483205"
"GISAID","EPI_ISL_13483206"
"GISAID","EPI_ISL_13483208"
"GISAID","EPI_ISL_13483780"
"GISAID","EPI_ISL_13484458"
"GISAID","EPI_ISL_13498265"
"GISAID","EPI_ISL_13499566"
"GISAID","EPI_ISL_13502582"
"GISAID","EPI_ISL_13508393"
"GISAID","EPI_ISL_13508471"
"GISAID","EPI_ISL_13511312"
"GISAID","EPI_ISL_13530881"
"GISAID","EPI_ISL_13537922"
"GISAID","EPI_ISL_13537923"
"GISAID","EPI_ISL_13537924"
"GISAID","EPI_ISL_13537925"
"GISAID","EPI_ISL_13537926"
"GISAID","EPI_ISL_13544223"
"GISAID","EPI_ISL_13544224"
"GISAID","EPI_ISL_13544225"
"GISAID","EPI_ISL_13544226"
"GISAID","EPI_ISL_13544227"
"GISAID","EPI_ISL_13544228"
"GISAID","EPI_ISL_13544229"
"GISAID","EPI_ISL_13544230"
"GISAID","EPI_ISL_13544231"
"GISAID","EPI_ISL_13544232"
"GISAID","EPI_ISL_13544233"
"GISAID","EPI_ISL_13544234"
"GISAID","EPI_ISL_13544235"
"GISAID","EPI_ISL_13544236"
"GISAID","EPI_ISL_13544237"
